conclusion_date1,conclusion_date2,incident_info,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info
E01/2018,15/06/2018,"17/08/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο κατά την προσγείωση στο αεροδρόμιο Μεγάρων (LGMG) υπέστη σκάσιμο ελαστικού  και κατάρευση του δεξιού σκέλους κατά την προσπάθειά του να σταματήσει πριν το τέλος του διαδρόμου""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=5&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΑΕΡΟΔΡΟΜΙΟ ΠΑΧΗΣ ΜΕΓΑΡΩΝ (LGMG),Νηολόγιο(α): G-IMEC,Αεροπλάνο,Μικρό / Ελαφρύ,ΑΕΡΟΔΡΟΜΙΟ ΠΑΧΗΣ ΜΕΓΑΡΩΝ (LGMG)Νηολόγιο(α): G-IMECΑεροπλάνοΜικρό / Ελαφρύ
11/2018,21/12/2018,"22/04/2017
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Προσγείωση ελαφρού αεροπλάνου σε εκπαιδευτική πτήση με τα σκέλη προσγείωσης ανεβασμένα""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΣΤΟΝ ΔΙΑΔΡΟΜΟ Π/Γ-Α/Π ΑΕΡΟΔΡΟΜΙΟΥ ΚΑΒΑΛΑΣ/ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ (LGKV)Νηολόγιο(α): SX-BEOΑεροπλάνοΜικρό / Ελαφρύ
10/2018,03/10/2019,"23/06/2017
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελικόπτερο συνετρίβη σε υδροβιότοπο της περιοχής Σχοινιά Μαραθώνα κατόπιν σύγκρουσης με ηλεκτροφόρα καλώδια""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=2&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=1&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=1&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,ΣΧΟΙΝΙΑΣ – ΜΑΡΑΘΩΝΑΣΝηολόγιο(α): SX-HBBΕλικόπτεροΜικρό / Ελαφρύ
09/2018,29/10/2018,"26/06/2015
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς προσέκρουσε σε πλαγιά βουνού πλησίον των Δελφών Φωκίδας με συνέπεια τον τραυματισμό του""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΔΕΛΦΟΙ ΦΩΚΙΔΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
08/2018,29/10/2018,"13/06/2015
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ανεπιτυχής αναγκαστική προσγείωση ελαφρού αεροπλάνου λόγω βλάβης στο αεροφρόμιο Μεσολογγίου κατέληξε σε αναγκαστική προσγείωση εκτός αεροδρομίου με ουσιώδης ζημιές""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Αγρόκτημα πλησίον του πεδίου προσγείωσης Μεσολογγίου ΑιτωλοακαρνανίαςΝηολόγιο(α): N43362ΑεροπλάνοΜικρό / Ελαφρύ
07/2018,07/09/2018,"16/10/2016
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο σε εκπαιδευτική πτήση συνετρίβη σε ορεινό όγκο της περιοχής Καλαβρύτων σε υψόμετρο 4965 ft. Θανάσιμος τραυματισμός και ολική καταστροφή αεροπλάνου.""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=2                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΚΑΛΑΒΡΥΤΑΝηολόγιο(α): 5B-CLBΑεροπλάνοΜικρό / Ελαφρύ
06/2018,07/09/2018,"18/05/2016
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς προσέκρουσε σε πλαγιά βουνού με συνέπεια τον σοβαρό τραυματισμό του""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΟΜΠΛΟΣ ΑΧΑΪΑΣ,Νηολόγιο(α): -,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΟΜΠΛΟΣ ΑΧΑΪΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
05/2018,20/07/2018,"12/09/2016
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αμφίβιο αεροπλάνο μετά από ανεπιτυχείς προσπάθειες αποθαλάσσωσης συνέχισε την πορεία του πλέοντας και ανετράπη. Το αεροσκάφος βυθίστηκε κατά τη ρυμούλκηση.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΘΑΛΑΣΣΙΑ ΠΕΡΙΟΧΗ ΦΩΦΛΑΚΑΣ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ ΜΕΘΑΝΩΝ,Νηολόγιο(α): N195GG,Αεροπλάνο,Μικρό / Ελαφρύ,ΘΑΛΑΣΣΙΑ ΠΕΡΙΟΧΗ ΦΩΦΛΑΚΑΣ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ ΜΕΘΑΝΩΝΝηολόγιο(α): N195GGΑεροπλάνοΜικρό / Ελαφρύ
04/2018,15/06/2018,"06/10/2016
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς συνετρίβη σε πλαγιά υψόμετρου 956 μέτρων και τραυματίστηκε θανάσιμα""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΝΕΟΣ ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ ΠΕΛΛΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
03/2018,13/04/2018,"02/02/2015
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Επιβατικό αεροπλάνο αερογραμμών (JETSTREAM 41) κατά την προσγείωση στο αεροδρόμιο Ρόδου (LGRP) υπό συνθήκες ισχυρών ανέμων υπέστη κατάρρευση του ριναίου συστήματος προσγείωσης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=3                                        Επιβάτες=16&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,Κρατικός Αερολιμένας Ρόδου ‘Διαγόρας’ (LGRP)Νηολόγιο(α): SX-DIAΑεροπλάνοΜεγάλο
02/2018,21/03/2018,"29/12/2015
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Μηχανοκίνητο αιωρόπτερο κατά τη διαδικασία αναγκαστικής προσγείωσης λόγω βλάβης συγκρούστηκε με γραμμές ρεύματος και κατέπεσε σε ναυτικό δίαυλο""><br/></span>",Μικρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): SX-UAO,Μηχανοκίνητο Αιωρόπτερο (Trike),ΔΙΑΥΛΟΣ ΜΕΣΟΛΟΓΓΙΟΥΝηολόγιο(α): SX-UAOΜηχανοκίνητο Αιωρόπτερο (Trike)
01/2018,22/02/2018,"22/03/2015
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο σε εκπαιδευτική πτήση συγκρούστηκε με καλώδια ρεύματος και κατέπεσε στον αξιό ποταμό.""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=2&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=2&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΣΤΑ 3 nm ΝΟΤΙΟΔΥΤΙΚΑ ΤΟΥ ΠΟΛΥΚΑΣΤΡΟΥ ΚΙΛΚΙΣ (στον ποταμό Αξιό)Νηολόγιο(α): HA-TAHΑεροπλάνοΜικρό / Ελαφρύ
E06/2017,15/11/2017,"16/05/2015
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Δύο ελαφρά αεροπλάνα βρέθηκαν σε συγκλίνουσα πορεία στη Ζώνη Κυκλοφορίας του Αεροδρομίου Μεγάρων (LGMG)""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=4                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",Ζώνη Κυκλοφορίας του Αεροδρομίου Μεγάρων (LGMG),Νηολόγιο(α): SX-API & SX-ARA,Αεροπλάνο,Μικρό / Ελαφρύ,Ζώνη Κυκλοφορίας του Αεροδρομίου Μεγάρων (LGMG)Νηολόγιο(α): SX-API & SX-ARAΑεροπλάνοΜικρό / Ελαφρύ
E05/2017,29/09/2017,"10/07/2016
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σοβαρός τραυματισμός χειριστή αιωρόπτερου κατά την προσγείωση με υψηλή ταχύτητα""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αιωρόπτερο (αετός πλαγιάς),"ΚΑΣΤΑΝΙΑ, ΔΗΜΟΥ ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥΝηολόγιο(α): -Αιωρόπτερο (αετός πλαγιάς)"
